ZCTA,TotalPopulation,Population_25to34Years,Population_55to59Years,Population_45to54Years,25to34Years (%),55to59Years (%),45to54Years (%)
ZCTA5 36310,6275,563,436,724,9.0,6.9,11.5
ZCTA5 36311,2426,185,258,420,7.6,10.6,17.3
ZCTA5 36312,6285,785,505,874,12.5,8.0,13.9
ZCTA5 36313,244,21,23,0,8.6,9.4,0.0
ZCTA5 36314,398,16,34,95,4.0,8.5,23.9
ZCTA5 36316,2118,269,176,379,12.7,8.3,17.9
ZCTA5 36317,486,42,38,62,8.6,7.8,12.8
ZCTA5 36318,1481,82,72,146,5.5,4.9,9.9
ZCTA5 36319,2200,248,145,298,11.3,6.6,13.5
ZCTA5 36320,3660,506,373,518,13.8,10.2,14.2
ZCTA5 36321,1816,305,60,214,16.8,3.3,11.8
ZCTA5 36322,8921,1128,791,1276,12.6,8.9,14.3
ZCTA5 36323,7862,926,665,1264,11.8,8.5,16.1
ZCTA5 36330,37144,5092,2323,4866,13.7,6.3,13.1
ZCTA5 36340,5718,874,443,790,15.3,7.7,13.8
ZCTA5 36343,1241,92,117,199,7.4,9.4,16.0
ZCTA5 36344,5719,640,365,749,11.2,6.4,13.1
ZCTA5 36345,8785,766,642,1162,8.7,7.3,13.2
ZCTA5 36346,1432,194,89,170,13.5,6.2,11.9
ZCTA5 36350,6428,853,555,796,13.3,8.6,12.4
ZCTA5 36351,3482,283,227,616,8.1,6.5,17.7
ZCTA5 36352,5433,652,422,969,12.0,7.8,17.8
ZCTA5 36353,1683,120,134,306,7.1,8.0,18.2
ZCTA5 36360,19064,2253,1472,2244,11.8,7.7,11.8
ZCTA5 36362,5311,1725,9,208,32.5,0.2,3.9
ZCTA5 36370,881,111,77,117,12.6,8.7,13.3
ZCTA5 36371,767,39,69,50,5.1,9.0,6.5
ZCTA5 36373,435,21,73,6,4.8,16.8,1.4
ZCTA5 36374,787,87,122,137,11.1,15.5,17.4
ZCTA5 36375,6976,675,528,1100,9.7,7.6,15.8
ZCTA5 36376,2179,248,122,345,11.4,5.6,15.8
ZCTA5 36401,7730,972,538,985,12.6,7.0,12.7
ZCTA5 36420,10369,1174,732,1488,11.3,7.1,14.4
ZCTA5 36421,9966,1400,665,1170,14.0,6.7,11.7
ZCTA5 36425,1045,123,89,97,11.8,8.5,9.3
ZCTA5 36426,15262,1743,1163,2080,11.4,7.6,13.6
ZCTA5 36432,2150,128,125,229,6.0,5.8,10.7
ZCTA5 36435,370,71,15,47,19.2,4.1,12.7
ZCTA5 36436,359,39,28,31,10.9,7.8,8.6
ZCTA5 36439,502,114,25,50,22.7,5.0,10.0
ZCTA5 36441,3886,595,261,367,15.3,6.7,9.4
ZCTA5 36442,3356,349,258,290,10.4,7.7,8.6
ZCTA5 36444,774,89,60,73,11.5,7.8,9.4
ZCTA5 36445,4524,373,279,438,8.2,6.2,9.7
ZCTA5 36446,441,47,39,56,10.7,8.8,12.7
ZCTA5 36451,4312,539,448,502,12.5,10.4,11.6
ZCTA5 36453,2396,210,217,333,8.8,9.1,13.9
ZCTA5 36454,8,0,0,0,0.0,0.0,0.0
ZCTA5 36455,252,21,36,29,8.3,14.3,11.5
ZCTA5 36456,1528,132,123,135,8.6,8.0,8.8
ZCTA5 36460,10246,1189,953,1529,11.6,9.3,14.9
ZCTA5 36467,9810,1031,643,1289,10.5,6.6,13.1
ZCTA5 36470,51,0,0,30,0.0,0.0,58.8
ZCTA5 36471,904,20,119,124,2.2,13.2,13.7
ZCTA5 36473,102,0,0,11,0.0,0.0,10.8
ZCTA5 36474,2647,247,186,422,9.3,7.0,15.9
ZCTA5 36475,2393,313,85,278,13.1,3.6,11.6
ZCTA5 36476,16,0,5,0,0.0,31.2,0.0
ZCTA5 36477,3688,406,321,473,11.0,8.7,12.8
ZCTA5 36480,1682,130,130,203,7.7,7.7,12.1
ZCTA5 36481,443,11,29,85,2.5,6.5,19.2
ZCTA5 36482,1004,69,171,198,6.9,17.0,19.7
ZCTA5 36483,447,71,80,25,15.9,17.9,5.6
ZCTA5 36502,18113,2721,1013,2288,15.0,5.6,12.6
ZCTA5 36505,1682,150,26,276,8.9,1.5,16.4
ZCTA5 36507,21360,2323,1363,2604,10.9,6.4,12.2
ZCTA5 36509,2054,285,157,281,13.9,7.6,13.7
ZCTA5 36511,221,0,21,19,0.0,9.5,8.6
ZCTA5 36512,39,0,0,0,0.0,0.0,0.0
ZCTA5 36513,672,64,0,76,9.5,0.0,11.3
ZCTA5 36518,2744,322,268,254,11.7,9.8,9.3
ZCTA5 36521,6073,942,409,810,15.5,6.7,13.3
ZCTA5 36522,7339,1069,497,1044,14.6,6.8,14.2
