ZCTA,TotalPopulation,Population_25to34Years,Population_55to59Years,Population_45to54Years,25to34Years (%),55to59Years (%),45to54Years (%)
ZCTA5 91914,17379,1792,1053,2788,10.3,6.1,16.0
ZCTA5 91915,33485,4496,1430,4516,13.4,4.3,13.5
ZCTA5 91916,1939,243,276,147,12.5,14.2,7.6
ZCTA5 91917,986,146,104,132,14.8,10.5,13.4
ZCTA5 91931,613,23,76,0,3.8,12.4,0.0
ZCTA5 91932,26492,5228,1482,2956,19.7,5.6,11.2
ZCTA5 91934,323,0,15,79,0.0,4.6,24.5
ZCTA5 91935,8550,970,722,1136,11.3,8.4,13.3
ZCTA5 91941,31918,4780,1897,4308,15.0,5.9,13.5
ZCTA5 91942,40151,8321,2471,4479,20.7,6.2,11.2
ZCTA5 91945,27236,4487,1937,2928,16.5,7.1,10.8
ZCTA5 91948,130,39,0,13,30.0,0.0,10.0
ZCTA5 91950,62859,10565,4237,7145,16.8,6.7,11.4
ZCTA5 91962,2106,238,180,370,11.3,8.5,17.6
ZCTA5 91963,1182,72,0,148,6.1,0.0,12.5
ZCTA5 91977,64750,10444,4152,7911,16.1,6.4,12.2
ZCTA5 91978,10506,1768,699,1384,16.8,6.7,13.2
ZCTA5 91980,0,0,0,0,,,
ZCTA5 92003,5160,526,334,847,10.2,6.5,16.4
ZCTA5 92004,2299,33,180,243,1.4,7.8,10.6
ZCTA5 92007,11417,1025,727,1625,9.0,6.4,14.2
ZCTA5 92008,27151,4088,1872,4138,15.1,6.9,15.2
ZCTA5 92009,46612,4003,3782,7598,8.6,8.1,16.3
ZCTA5 92010,16346,1740,932,2366,10.6,5.7,14.5
ZCTA5 92011,24144,1744,1794,3852,7.2,7.4,16.0
ZCTA5 92014,13568,1484,984,2286,10.9,7.3,16.8
ZCTA5 92019,43272,5645,3209,5423,13.0,7.4,12.5
ZCTA5 92020,59743,10011,4003,6775,16.8,6.7,11.3
ZCTA5 92021,70148,11241,4474,8467,16.0,6.4,12.1
ZCTA5 92024,51381,6594,3974,7376,12.8,7.7,14.4
ZCTA5 92025,52985,8863,3153,6699,16.7,6.0,12.6
ZCTA5 92026,50321,7803,2766,6702,15.5,5.5,13.3
ZCTA5 92027,56788,9476,4077,7204,16.7,7.2,12.7
ZCTA5 92028,48173,6004,3001,5720,12.5,6.2,11.9
ZCTA5 92029,19382,2358,1403,2492,12.2,7.2,12.9
ZCTA5 92036,2593,298,281,258,11.5,10.8,9.9
ZCTA5 92037,38168,5018,2763,4674,13.1,7.2,12.2
ZCTA5 92040,46306,6641,3144,5649,14.3,6.8,12.2
ZCTA5 92054,41807,7498,2790,4453,17.9,6.7,10.7
ZCTA5 92055,11765,1085,0,86,9.2,0.0,0.7
ZCTA5 92056,52337,8083,3879,5828,15.4,7.4,11.1
ZCTA5 92057,60414,8768,4398,7251,14.5,7.3,12.0
ZCTA5 92058,46029,9269,1592,3227,20.1,3.5,7.0
ZCTA5 92059,1464,114,186,107,7.8,12.7,7.3
ZCTA5 92060,166,0,68,0,0.0,41.0,0.0
ZCTA5 92061,2660,330,290,149,12.4,10.9,5.6
ZCTA5 92064,49805,5609,3895,6936,11.3,7.8,13.9
ZCTA5 92065,37505,4298,2923,5782,11.5,7.8,15.4
ZCTA5 92066,693,111,64,102,16.0,9.2,14.7
ZCTA5 92067,7724,538,811,1093,7.0,10.5,14.2
ZCTA5 92069,50376,7099,3091,6210,14.1,6.1,12.3
ZCTA5 92070,786,89,47,83,11.3,6.0,10.6
ZCTA5 92071,57710,8348,4294,7352,14.5,7.4,12.7
ZCTA5 92075,12752,1667,888,1899,13.1,7.0,14.9
ZCTA5 92078,50510,5497,2348,6318,10.9,4.6,12.5
ZCTA5 92081,29596,5117,2065,4362,17.3,7.0,14.7
ZCTA5 92082,18705,2146,1744,2316,11.5,9.3,12.4
ZCTA5 92083,39509,6666,2017,5041,16.9,5.1,12.8
ZCTA5 92084,51619,8257,3094,6647,16.0,6.0,12.9
ZCTA5 92086,1543,227,80,124,14.7,5.2,8.0
ZCTA5 92091,1313,78,79,209,5.9,6.0,15.9
ZCTA5 92101,41159,13269,2633,5168,32.2,6.4,12.6
ZCTA5 92102,44010,9812,2192,5375,22.3,5.0,12.2
ZCTA5 92103,34700,8567,1803,4552,24.7,5.2,13.1
ZCTA5 92104,45435,13765,2127,5563,30.3,4.7,12.2
ZCTA5 92105,73623,13321,3657,9536,18.1,5.0,13.0
ZCTA5 92106,20155,2675,1126,2477,13.3,5.6,12.3
ZCTA5 92107,31223,7623,1693,3348,24.4,5.4,10.7
ZCTA5 92108,22280,7304,922,2065,32.8,4.1,9.3
ZCTA5 92109,47111,16410,1853,3887,34.8,3.9,8.3
ZCTA5 92110,30108,5491,1557,3283,18.2,5.2,10.9
ZCTA5 92111,50693,9576,2758,6245,18.9,5.4,12.3
ZCTA5 92113,58408,9800,2104,6249,16.8,3.6,10.7
ZCTA5 92114,68851,11359,3996,8571,16.5,5.8,12.4
ZCTA5 92115,64343,10791,3426,5975,16.8,5.3,9.3
ZCTA5 92116,33408,8646,2207,4004,25.9,6.6,12.0
ZCTA5 92117,56983,10609,4028,7382,18.6,7.1,13.0
ZCTA5 92118,22548,2683,1628,2474,11.9,7.2,11.0
ZCTA5 92119,24831,3122,1600,3230,12.6,6.4,13.0
ZCTA5 92120,30550,4492,1624,3935,14.7,5.3,12.9
ZCTA5 92121,4729,835,212,646,17.7,4.5,13.7
ZCTA5 92122,48071,11983,1458,4510,24.9,3.0,9.4
ZCTA5 92123,32473,8219,1545,3917,25.3,4.8,12.1
ZCTA5 92124,32600,6189,1707,3120,19.0,5.2,9.6
ZCTA5 92126,82658,17425,5123,9849,21.1,6.2,11.9
ZCTA5 92127,49935,5064,2152,8151,10.1,4.3,16.3
ZCTA5 92128,51357,6590,3991,6607,12.8,7.8,12.9
ZCTA5 92129,54762,6696,4459,8674,12.2,8.1,15.8
ZCTA5 92130,56134,5442,3909,10605,9.7,7.0,18.9
ZCTA5 92131,34727,3566,2703,5476,10.3,7.8,15.8
ZCTA5 92132,0,0,0,0,,,
ZCTA5 92134,285,74,1,0,26.0,0.4,0.0
ZCTA5 92135,635,36,0,0,5.7,0.0,0.0
ZCTA5 92139,36105,5986,1950,4255,16.6,5.4,11.8
ZCTA5 92140,3737,414,0,0,11.1,0.0,0.0
ZCTA5 92145,1883,153,82,532,8.1,4.4,28.3
ZCTA5 92147,518,60,0,0,11.6,0.0,0.0
ZCTA5 92154,88979,14099,5086,11632,15.8,5.7,13.1
ZCTA5 92155,456,60,0,0,13.2,0.0,0.0
ZCTA5 92173,31000,5477,2071,3419,17.7,6.7,11.0
ZCTA5 92201,65726,9119,4456,8497,13.9,6.8,12.9
ZCTA5 92203,31140,3754,1668,3268,12.1,5.4,10.5
ZCTA5 92210,5138,242,437,396,4.7,8.5,7.7
ZCTA5 92211,25056,1824,1444,2012,7.3,5.8,8.0
ZCTA5 92220,33525,3769,1855,3299,11.2,5.5,9.8
ZCTA5 92222,0,0,0,0,,,
ZCTA5 92223,55580,7346,3393,5939,13.2,6.1,10.7
ZCTA5 92225,22460,4002,1370,2934,17.8,6.1,13.1
ZCTA5 92227,27189,3892,1540,2607,14.3,5.7,9.6
ZCTA5 92230,2705,400,174,387,14.8,6.4,14.3
ZCTA5 92231,40064,5481,2058,4685,13.7,5.1,11.7
ZCTA5 92233,7509,2132,251,837,28.4,3.3,11.1
ZCTA5 92234,54357,6854,3592,7102,12.6,6.6,13.1
ZCTA5 92236,45477,8072,3016,7183,17.7,6.6,15.8
ZCTA5 92239,227,1,5,4,0.4,2.2,1.8
ZCTA5 92240,35278,4487,2258,4534,12.7,6.4,12.9
ZCTA5 92241,7699,534,601,1043,6.9,7.8,13.5
ZCTA5 92242,1312,108,110,152,8.2,8.4,11.6
ZCTA5 92243,50402,6807,3024,5431,13.5,6.0,10.8
ZCTA5 92249,7861,1301,194,759,16.6,2.5,9.7
ZCTA5 92250,8655,1008,528,949,11.6,6.1,11.0
ZCTA5 92251,23970,4220,1046,3244,17.6,4.4,13.5
ZCTA5 92252,9351,1434,622,1208,15.3,6.7,12.9
ZCTA5 92253,40929,3815,2858,5030,9.3,7.0,12.3
ZCTA5 92254,9779,1207,609,1258,12.3,6.2,12.9
ZCTA5 92256,3100,389,231,541,12.5,7.5,17.5
ZCTA5 92257,1281,73,79,50,5.7,6.2,3.9
ZCTA5 92258,559,56,79,117,10.0,14.1,20.9
ZCTA5 92259,121,25,44,0,20.7,36.4,0.0
ZCTA5 92260,34660,3724,2170,3695,10.7,6.3,10.7
ZCTA5 92262,28618,2726,2622,4407,9.5,9.2,15.4
ZCTA5 92264,20072,1287,2043,2788,6.4,10.2,13.9
ZCTA5 92266,112,0,30,0,0.0,26.8,0.0
ZCTA5 92267,6,0,0,6,0.0,0.0,100.0
ZCTA5 92268,455,17,62,42,3.7,13.6,9.2
ZCTA5 92270,18193,1030,1524,1708,5.7,8.4,9.4
ZCTA5 92273,2010,343,60,283,17.1,3.0,14.1
ZCTA5 92274,15317,2054,905,2091,13.4,5.9,13.7
ZCTA5 92275,2632,202,191,257,7.7,7.3,9.8
ZCTA5 92276,6748,777,532,735,11.5,7.9,10.9
ZCTA5 92277,23172,4461,1144,1706,19.3,4.9,7.4
ZCTA5 92278,4890,779,0,34,15.9,0.0,0.7
ZCTA5 92280,0,0,0,0,,,
ZCTA5 92281,2591,353,105,290,13.6,4.1,11.2
ZCTA5 92282,1372,189,100,191,13.8,7.3,13.9
ZCTA5 92283,1684,173,114,133,10.3,6.8,7.9
ZCTA5 92284,26182,3375,2040,3319,12.9,7.8,12.7
ZCTA5 92285,2430,150,264,245,6.2,10.9,10.1
ZCTA5 92301,34250,4957,1436,3680,14.5,4.2,10.7
ZCTA5 92304,23,0,13,0,0.0,56.5,0.0
ZCTA5 92305,657,40,61,134,6.1,9.3,20.4
ZCTA5 92307,39149,4998,2471,4448,12.8,6.3,11.4
ZCTA5 92308,42207,4499,2846,4897,10.7,6.7,11.6
ZCTA5 92309,572,87,27,64,15.2,4.7,11.2
ZCTA5 92310,9872,2231,25,198,22.6,0.3,2.0
ZCTA5 92311,33454,4706,2256,3585,14.1,6.7,10.7
ZCTA5 92313,12547,2243,855,1720,17.9,6.8,13.7
ZCTA5 92314,11385,1144,820,1378,10.0,7.2,12.1
ZCTA5 92315,5247,729,319,612,13.9,6.1,11.7
ZCTA5 92316,28704,4443,1367,3481,15.5,4.8,12.1
ZCTA5 92320,8753,856,560,1134,9.8,6.4,13.0
ZCTA5 92321,1042,91,34,224,8.7,3.3,21.5
ZCTA5 92322,672,34,15,116,5.1,2.2,17.3
ZCTA5 92324,59972,10588,3253,6988,17.7,5.4,11.7
ZCTA5 92325,7948,1182,826,931,14.9,10.4,11.7
ZCTA5 92327,737,138,60,37,18.7,8.1,5.0
ZCTA5 92328,438,81,56,76,18.5,12.8,17.4
ZCTA5 92332,97,0,6,0,0.0,6.2,0.0
ZCTA5 92333,392,0,18,21,0.0,4.6,5.4
ZCTA5 92335,99306,16325,4338,12788,16.4,4.4,12.9
ZCTA5 92336,98346,13317,5123,14034,13.5,5.2,14.3
ZCTA5 92337,39240,6538,2322,5514,16.7,5.9,14.1
ZCTA5 92338,0,0,0,0,,,
ZCTA5 92339,1077,97,116,145,9.0,10.8,13.5
ZCTA5 92341,222,33,29,34,14.9,13.1,15.3
ZCTA5 92342,6737,642,336,940,9.5,5.0,14.0
ZCTA5 92344,23349,3038,1562,2730,13.0,6.7,11.7
ZCTA5 92345,82110,10721,5227,9920,13.1,6.4,12.1
ZCTA5 92346,63857,9007,4518,7868,14.1,7.1,12.3
ZCTA5 92347,702,33,78,129,4.7,11.1,18.4
ZCTA5 92352,5578,604,343,697,10.8,6.1,12.5
ZCTA5 92354,22050,4085,1380,2511,18.5,6.3,11.4
ZCTA5 92356,6573,690,415,634,10.5,6.3,9.6
ZCTA5 92358,722,38,60,180,5.3,8.3,24.9
ZCTA5 92359,9170,1333,520,1226,14.5,5.7,13.4
ZCTA5 92363,5348,485,398,672,9.1,7.4,12.6
ZCTA5 92364,6,0,0,0,0.0,0.0,0.0
ZCTA5 92365,2733,206,186,481,7.5,6.8,17.6
ZCTA5 92368,1019,122,55,147,12.0,5.4,14.4
ZCTA5 92371,18269,1913,1233,2604,10.5,6.7,14.3
ZCTA5 92372,6071,552,529,567,9.1,8.7,9.3
ZCTA5 92373,33353,5683,2291,3311,17.0,6.9,9.9
ZCTA5 92374,43391,6593,2317,5116,15.2,5.3,11.8
ZCTA5 92376,86085,13651,4229,9687,15.9,4.9,11.3
ZCTA5 92377,20476,3305,1500,2731,16.1,7.3,13.3
ZCTA5 92378,234,0,28,74,0.0,12.0,31.6
ZCTA5 92382,4462,531,271,617,11.9,6.1,13.8
ZCTA5 92384,17,4,0,4,23.5,0.0,23.5
ZCTA5 92385,216,25,16,29,11.6,7.4,13.4
ZCTA5 92386,2248,287,207,222,12.8,9.2,9.9
ZCTA5 92389,168,5,7,11,3.0,4.2,6.5
ZCTA5 92391,1959,255,120,316,13.0,6.1,16.1
ZCTA5 92392,58393,9271,2938,7358,15.9,5.0,12.6
ZCTA5 92394,34915,6340,2088,4036,18.2,6.0,11.6
ZCTA5 92395,43908,5682,2128,5505,12.9,4.8,12.5
ZCTA5 92397,4562,542,260,510,11.9,5.7,11.2
ZCTA5 92398,2195,399,163,241,18.2,7.4,11.0
ZCTA5 92399,54268,7545,3448,6622,13.9,6.4,12.2
ZCTA5 92401,2257,400,134,198,17.7,5.9,8.8
ZCTA5 92404,62915,10050,3494,6539,16.0,5.6,10.4
ZCTA5 92405,30112,4331,1968,3532,14.4,6.5,11.7
ZCTA5 92407,68545,10672,3613,7726,15.6,5.3,11.3
ZCTA5 92408,13635,2342,914,1508,17.2,6.7,11.1
ZCTA5 92410,45052,7558,2538,4424,16.8,5.6,9.8
ZCTA5 92411,25650,3806,1133,2910,14.8,4.4,11.3
ZCTA5 92501,21590,4082,1266,2747,18.9,5.9,12.7
ZCTA5 92503,95551,14980,5640,12792,15.7,5.9,13.4
ZCTA5 92504,59896,8819,3407,7364,14.7,5.7,12.3
ZCTA5 92505,53282,9387,2742,6480,17.6,5.1,12.2
ZCTA5 92506,46241,6950,2895,6289,15.0,6.3,13.6
ZCTA5 92507,59152,11900,2485,4870,20.1,4.2,8.2
ZCTA5 92508,38428,5276,2432,5891,13.7,6.3,15.3
ZCTA5 92509,81383,12530,4102,10240,15.4,5.0,12.6
ZCTA5 92518,1021,67,8,57,6.6,0.8,5.6
ZCTA5 92530,58184,9323,3470,7204,16.0,6.0,12.4
ZCTA5 92532,25923,3813,1569,2712,14.7,6.1,10.5
ZCTA5 92536,3076,411,402,291,13.4,13.1,9.5
ZCTA5 92539,4557,392,284,668,8.6,6.2,14.7
ZCTA5 92543,38314,4468,1955,3889,11.7,5.1,10.2
ZCTA5 92544,49923,6614,3015,6280,13.2,6.0,12.6
ZCTA5 92545,41879,4209,2294,3719,10.1,5.5,8.9
ZCTA5 92548,7859,941,302,882,12.0,3.8,11.2
ZCTA5 92549,2517,171,379,301,6.8,15.1,12.0
ZCTA5 92551,34011,5686,1572,4068,16.7,4.6,12.0
ZCTA5 92553,76102,11950,3946,8604,15.7,5.2,11.3
ZCTA5 92555,44452,6519,2365,6214,14.7,5.3,14.0
ZCTA5 92557,53406,9349,3361,6622,17.5,6.3,12.4
ZCTA5 92561,1462,112,138,202,7.7,9.4,13.8
ZCTA5 92562,64286,7722,4720,8653,12.0,7.3,13.5
ZCTA5 92563,69469,9971,3585,8936,14.4,5.2,12.9
ZCTA5 92567,10648,1679,576,1395,15.8,5.4,13.1
ZCTA5 92570,60686,8621,3306,7688,14.2,5.4,12.7
ZCTA5 92571,57622,8712,2545,7536,15.1,4.4,13.1
ZCTA5 92582,17219,2579,860,2351,15.0,5.0,13.7
ZCTA5 92583,32697,4028,1883,3889,12.3,5.8,11.9
ZCTA5 92584,54235,8596,2934,6632,15.8,5.4,12.2
ZCTA5 92585,21907,2785,1445,2754,12.7,6.6,12.6
ZCTA5 92586,19472,1567,1618,1703,8.0,8.3,8.7
ZCTA5 92587,17237,2644,1014,2352,15.3,5.9,13.6
ZCTA5 92590,5154,664,428,750,12.9,8.3,14.6
ZCTA5 92591,41609,6047,2817,5135,14.5,6.8,12.3
ZCTA5 92592,84930,9733,5600,13099,11.5,6.6,15.4
ZCTA5 92595,33649,5100,2032,3951,15.2,6.0,11.7
ZCTA5 92596,32256,4014,1843,3475,12.4,5.7,10.8
ZCTA5 92602,23238,2770,1029,4324,11.9,4.4,18.6
ZCTA5 92603,19558,2264,1824,2811,11.6,9.3,14.4
ZCTA5 92604,28990,3358,1905,4077,11.6,6.6,14.1
ZCTA5 92606,26171,4664,1392,3768,17.8,5.3,14.4
ZCTA5 92610,16360,2444,1277,2618,14.9,7.8,16.0
ZCTA5 92612,33234,6032,1601,3626,18.2,4.8,10.9
ZCTA5 92614,27187,5195,1594,3516,19.1,5.9,12.9
ZCTA5 92617,17197,2825,167,556,16.4,1.0,3.2
ZCTA5 92618,48997,11215,2066,6345,22.9,4.2,12.9
ZCTA5 92620,52569,6033,3561,9730,11.5,6.8,18.5
ZCTA5 92624,6372,658,759,1369,10.3,11.9,21.5
ZCTA5 92625,12394,898,1122,1645,7.2,9.1,13.3
ZCTA5 92626,50605,10863,3222,6952,21.5,6.4,13.7
ZCTA5 92627,63161,11905,3588,8505,18.8,5.7,13.5
ZCTA5 92629,26877,2572,2214,4614,9.6,8.2,17.2
ZCTA5 92630,59403,8881,4026,9273,15.0,6.8,15.6
ZCTA5 92637,16053,61,594,369,0.4,3.7,2.3
ZCTA5 92646,55870,5851,4446,8813,10.5,8.0,15.8
ZCTA5 92647,62199,10085,3653,9224,16.2,5.9,14.8
ZCTA5 92648,46228,7260,3745,7492,15.7,8.1,16.2
ZCTA5 92649,35278,4976,3085,4979,14.1,8.7,14.1
ZCTA5 92651,24800,1751,2451,3911,7.1,9.9,15.8
ZCTA5 92653,30012,3462,1875,4865,11.5,6.2,16.2
ZCTA5 92655,8382,948,529,1483,11.3,6.3,17.7
ZCTA5 92656,52268,7200,3793,8819,13.8,7.3,16.9
ZCTA5 92657,9802,832,909,1662,8.5,9.3,17.0
ZCTA5 92660,35446,3937,2473,5327,11.1,7.0,15.0
ZCTA5 92661,3445,732,290,368,21.2,8.4,10.7
ZCTA5 92662,2519,139,225,233,5.5,8.9,9.2
ZCTA5 92663,21951,4387,1646,3275,20.0,7.5,14.9
ZCTA5 92672,34218,4876,3031,4666,14.2,8.9,13.6
ZCTA5 92673,30768,2169,2538,4913,7.0,8.2,16.0
ZCTA5 92675,38803,4499,2730,5354,11.6,7.0,13.8
ZCTA5 92676,2068,139,212,351,6.7,10.3,17.0
ZCTA5 92677,66314,7606,5760,9723,11.5,8.7,14.7
ZCTA5 92678,584,55,95,70,9.4,16.3,12.0
ZCTA5 92679,32657,2751,3347,6096,8.4,10.2,18.7
ZCTA5 92683,91105,12152,5828,14240,13.3,6.4,15.6
ZCTA5 92688,44832,5736,3357,7791,12.8,7.5,17.4
ZCTA5 92691,50839,5961,3442,8000,11.7,6.8,15.7
ZCTA5 92692,46800,4612,4402,6972,9.9,9.4,14.9
ZCTA5 92694,29570,3084,1203,4626,10.4,4.1,15.6
ZCTA5 92701,55058,8679,2427,5967,15.8,4.4,10.8
ZCTA5 92703,69112,11842,3611,8728,17.1,5.2,12.6
ZCTA5 92704,88321,15161,5236,11518,17.2,5.9,13.0
ZCTA5 92705,47298,5643,3340,6500,11.9,7.1,13.7
ZCTA5 92706,35748,6348,1933,4787,17.8,5.4,13.4
ZCTA5 92707,60831,11145,3353,8372,18.3,5.5,13.8
ZCTA5 92708,56953,6157,4321,8557,10.8,7.6,15.0
ZCTA5 92780,59499,10098,3273,7016,17.0,5.5,11.8
ZCTA5 92782,23084,3036,1618,3844,13.2,7.0,16.7
ZCTA5 92801,66594,11370,3774,8106,17.1,5.7,12.2
ZCTA5 92802,42016,7341,2150,5675,17.5,5.1,13.5
ZCTA5 92804,89915,14832,5436,11564,16.5,6.0,12.9
ZCTA5 92805,74478,12884,3594,10151,17.3,4.8,13.6
ZCTA5 92806,39442,7545,2468,5141,19.1,6.3,13.0
ZCTA5 92807,35687,4213,2927,5173,11.8,8.2,14.5
ZCTA5 92808,20483,2109,1971,3446,10.3,9.6,16.8
ZCTA5 92821,37712,5135,2745,5778,13.6,7.3,15.3
ZCTA5 92823,4872,420,282,742,8.6,5.8,15.2
ZCTA5 92831,37359,6705,1882,4143,17.9,5.0,11.1
ZCTA5 92832,25837,4608,1397,3292,17.8,5.4,12.7
ZCTA5 92833,52435,7962,3842,7183,15.2,7.3,13.7
ZCTA5 92835,23528,2567,2332,3194,10.9,9.9,13.6
ZCTA5 92840,54735,8842,3875,7861,16.2,7.1,14.4
ZCTA5 92841,33754,4763,2429,4693,14.1,7.2,13.9
ZCTA5 92843,46873,6911,3065,7022,14.7,6.5,15.0
ZCTA5 92844,23189,3556,1857,3562,15.3,8.0,15.4
ZCTA5 92845,16273,1703,1306,2267,10.5,8.0,13.9
ZCTA5 92860,26849,3519,2039,4846,13.1,7.6,18.0
ZCTA5 92861,5822,263,639,866,4.5,11.0,14.9
ZCTA5 92865,20664,3464,1491,2612,16.8,7.2,12.6
ZCTA5 92866,15574,2630,852,2065,16.9,5.5,13.3
ZCTA5 92867,44655,5503,3211,5845,12.3,7.2,13.1
ZCTA5 92868,27072,6691,1373,3086,24.7,5.1,11.4
ZCTA5 92869,36846,5390,2835,5446,14.6,7.7,14.8
ZCTA5 92870,53600,7672,3384,7187,14.3,6.3,13.4
ZCTA5 92879,47872,7481,2991,6642,15.6,6.2,13.9
ZCTA5 92880,69656,9567,3967,9375,13.7,5.7,13.5
ZCTA5 92881,33531,4284,2672,5742,12.8,8.0,17.1
ZCTA5 92882,73250,10973,4760,9708,15.0,6.5,13.3
ZCTA5 92883,35933,3807,2005,5203,10.6,5.6,14.5
ZCTA5 92886,50784,5140,3890,7582,10.1,7.7,14.9
ZCTA5 92887,20012,1894,1997,2703,9.5,10.0,13.5
ZCTA5 93001,32396,5768,2487,4260,17.8,7.7,13.1
ZCTA5 93003,51629,7200,3715,6271,13.9,7.2,12.1
ZCTA5 93004,31525,4148,2381,4002,13.2,7.6,12.7
ZCTA5 93010,46063,6021,2982,5165,13.1,6.5,11.2
ZCTA5 93012,36052,3473,2881,4799,9.6,8.0,13.3
ZCTA5 93013,16652,1690,1383,2028,10.1,8.3,12.2
ZCTA5 93015,17989,2009,770,2211,11.2,4.3,12.3
ZCTA5 93021,38581,5115,3434,5143,13.3,8.9,13.3
ZCTA5 93022,7179,1070,570,1065,14.9,7.9,14.8
ZCTA5 93023,19895,2315,1700,2959,11.6,8.5,14.9
ZCTA5 93030,58422,8589,3409,7727,14.7,5.8,13.2
ZCTA5 93033,84701,13921,4415,9162,16.4,5.2,10.8
ZCTA5 93035,29354,3894,2365,4225,13.3,8.1,14.4
ZCTA5 93036,48162,8321,2411,6286,17.3,5.0,13.1
ZCTA5 93040,1827,256,61,218,14.0,3.3,11.9
ZCTA5 93041,24208,5272,1392,2124,21.8,5.8,8.8
ZCTA5 93042,118,36,0,0,30.5,0.0,0.0
ZCTA5 93043,144,38,5,0,26.4,3.5,0.0
ZCTA5 93060,33773,4575,2098,3784,13.5,6.2,11.2
ZCTA5 93063,56458,7123,4011,8850,12.6,7.1,15.7
ZCTA5 93064,0,0,0,0,,,
ZCTA5 93065,71832,9222,5696,11105,12.8,7.9,15.5
ZCTA5 93066,3220,398,262,445,12.4,8.1,13.8
ZCTA5 93067,410,114,55,26,27.8,13.4,6.3
ZCTA5 93101,31371,6344,1753,3003,20.2,5.6,9.6
ZCTA5 93103,20538,3494,1199,2466,17.0,5.8,12.0
ZCTA5 93105,28545,3062,1799,4252,10.7,6.3,14.9
ZCTA5 93108,10401,358,906,1273,3.4,8.7,12.2
ZCTA5 93109,10771,1118,858,1219,10.4,8.0,11.3
ZCTA5 93110,16849,2107,1250,2095,12.5,7.4,12.4
ZCTA5 93111,17329,1526,1184,2224,8.8,6.8,12.8
ZCTA5 93117,58546,6640,2227,3853,11.3,3.8,6.6
ZCTA5 93201,1580,172,59,145,10.9,3.7,9.2
ZCTA5 93202,4273,358,205,525,8.4,4.8,12.3
ZCTA5 93203,22662,3206,855,2455,14.1,3.8,10.8
ZCTA5 93204,12961,2155,536,1775,16.6,4.1,13.7
ZCTA5 93205,2030,126,94,288,6.2,4.6,14.2
ZCTA5 93206,1704,246,96,163,14.4,5.6,9.6
ZCTA5 93207,256,0,17,9,0.0,6.6,3.5
ZCTA5 93208,106,64,0,0,60.4,0.0,0.0
ZCTA5 93210,18336,3332,909,2107,18.2,5.0,11.5
ZCTA5 93212,23357,4653,1631,2991,19.9,7.0,12.8
ZCTA5 93215,54958,9742,2262,6770,17.7,4.1,12.3
ZCTA5 93218,871,94,42,88,10.8,4.8,10.1
ZCTA5 93219,10285,1215,445,1177,11.8,4.3,11.4
ZCTA5 93220,65,0,0,65,0.0,0.0,100.0
ZCTA5 93221,14129,1723,1001,1560,12.2,7.1,11.0
ZCTA5 93222,1583,70,231,211,4.4,14.6,13.3
ZCTA5 93223,10716,1571,607,1167,14.7,5.7,10.9
ZCTA5 93224,471,37,41,62,7.9,8.7,13.2
ZCTA5 93225,4782,392,623,665,8.2,13.0,13.9
ZCTA5 93226,121,0,28,0,0.0,23.1,0.0
ZCTA5 93230,67605,10036,3516,8245,14.8,5.2,12.2
ZCTA5 93234,7355,1431,238,870,19.5,3.2,11.8
ZCTA5 93235,4215,522,348,517,12.4,8.3,12.3
ZCTA5 93238,673,97,22,2,14.4,3.3,0.3
ZCTA5 93239,1246,241,82,164,19.3,6.6,13.2
ZCTA5 93240,6327,807,526,781,12.8,8.3,12.3
ZCTA5 93241,16397,2279,794,1990,13.9,4.8,12.1
ZCTA5 93242,3474,411,226,333,11.8,6.5,9.6
ZCTA5 93243,1532,348,177,169,22.7,11.6,11.0
ZCTA5 93244,308,38,38,8,12.3,12.3,2.6
ZCTA5 93245,38480,7626,1615,3749,19.8,4.2,9.7
ZCTA5 93247,18234,2645,1191,2423,14.5,6.5,13.3
ZCTA5 93249,1875,317,87,129,16.9,4.6,6.9
ZCTA5 93250,16191,2543,696,1487,15.7,4.3,9.2
ZCTA5 93251,202,31,21,32,15.3,10.4,15.8
ZCTA5 93252,2488,494,190,363,19.9,7.6,14.6
ZCTA5 93254,786,117,51,85,14.9,6.5,10.8
ZCTA5 93255,691,132,52,132,19.1,7.5,19.1
ZCTA5 93256,5431,838,113,192,15.4,2.1,3.5
ZCTA5 93257,76519,9948,4232,8553,13.0,5.5,11.2
ZCTA5 93258,1952,308,62,321,15.8,3.2,16.4
ZCTA5 93260,226,51,12,6,22.6,5.3,2.7
ZCTA5 93261,2434,419,189,295,17.2,7.8,12.1
ZCTA5 93262,53,18,18,0,34.0,34.0,0.0
ZCTA5 93263,22210,3664,997,2386,16.5,4.5,10.7
ZCTA5 93265,3379,295,291,347,8.7,8.6,10.3
ZCTA5 93266,1337,164,26,123,12.3,1.9,9.2
ZCTA5 93267,6788,690,355,791,10.2,5.2,11.7
ZCTA5 93268,18731,2590,897,1986,13.8,4.8,10.6
ZCTA5 93270,5367,541,152,572,10.1,2.8,10.7
ZCTA5 93271,2479,175,328,325,7.1,13.2,13.1
ZCTA5 93272,4707,521,165,516,11.1,3.5,11.0
ZCTA5 93274,74000,10968,3351,8190,14.8,4.5,11.1
ZCTA5 93276,144,25,9,22,17.4,6.2,15.3
ZCTA5 93277,52271,7699,2759,5637,14.7,5.3,10.8
ZCTA5 93280,28138,5937,1525,2923,21.1,5.4,10.4
